,Date,Round,Total,Games,Ave.
17,1945-07-19,Round 18,94500,6,15750
18,1945-07-26,Round 19,90000,6,15000
19,1945-08-02,Round 20,89500,6,14917
20,1945-08-09,Finals,205361,4,51340
0,1946-03-22,Round 1,144000,6,24000
1,1946-03-29,Round 2,103500,6,17250
2,1946-04-05,Round 3,117000,6,19500
3,1946-04-12,Round 4,111500,6,18583
4,1946-04-19,Round 5,97000,6,16167
5,1946-04-26,Round 6,107000,6,17833
6,1946-05-03,Round 7,105000,6,17500
7,1946-05-10,Round 8,130000,6,21667
8,1946-05-17,Round 9,134000,6,22333
9,1946-05-24,Round 10,114500,6,19083
10,1946-05-31,Round 11,91000,6,15167
11,1946-06-07,Round 12,103500,6,17250
12,1946-06-14,Round 13,89000,6,14833
13,1946-06-21,Round 14,104000,6,17333
14,1946-06-28,Round 15,105500,6,17583
15,1946-07-05,Round 16,106000,6,17667
16,1946-07-12,Round 17,98601,6,16434
17,1946-07-19,Round 18,96000,6,16000
18,1946-07-26,Round 19,96527,6,16088
19,1946-08-02,Finals,336234,5,67247
0,1947-03-22,Round 1,114000,6,19000
1,1947-03-29,Round 2,108792,6,18132
2,1947-04-05,Round 3,106600,6,17767
3,1947-04-12,Round 4,115000,6,19167
4,1947-04-19,Round 5,113192,6,18865
5,1947-04-26,Round 6,102500,6,17083
6,1947-05-03,Round 7,132607,6,22101
7,1947-05-10,Round 8,106046,6,17674
8,1947-05-17,Round 9,131000,6,21833
9,1947-05-24,Round 10,109996,6,18333
10,1947-05-31,Round 11,104000,6,17333
11,1947-06-07,Round 12,96806,6,16134
12,1947-06-14,Round 13,109000,6,18167
13,1947-06-21,Round 14,89307,6,14885
14,1947-06-28,Round 15,113574,6,18929
15,1947-07-05,Round 16,110500,6,18417
16,1947-07-12,Round 17,98634,6,16439
17,1947-07-19,Round 18,87000,6,14500
18,1947-07-26,Round 19,99500,6,16583
19,1947-08-02,Finals,299486,4,74872
0,1948-03-22,Round 1,123664,6,20611
1,1948-03-29,Round 2,150500,6,25083
2,1948-04-05,Round 3,130057,6,21676
3,1948-04-12,Round 4,95000,6,15833
4,1948-04-19,Round 5,102831,6,17139
5,1948-04-26,Round 6,110000,6,18333
6,1948-05-03,Round 7,104864,6,17477
7,1948-05-10,Round 8,116500,6,19417
8,1948-05-17,Round 9,127000,6,21167
9,1948-05-24,Round 10,120457,6,20076
10,1948-05-31,Round 11,87086,6,14514
11,1948-06-07,Round 12,92000,6,15333
12,1948-06-14,Round 13,103056,6,17176
13,1948-06-21,Round 14,101000,6,16833
14,1948-06-28,Round 15,112192,6,18699
15,1948-07-05,Round 16,88000,6,14667
16,1948-07-12,Round 17,96196,6,16033
17,1948-07-19,Round 18,91000,6,15167
18,1948-07-26,Round 19,105110,6,17518
19,1948-08-02,Finals,345833,5,69167
0,1949-03-22,Round 1,137000,6,22833
1,1949-03-29,Round 2,110616,6,18436
2,1949-04-05,Round 3,110060,6,18343
3,1949-04-12,Round 4,94000,6,15667
4,1949-04-19,Round 5,107338,6,17890
5,1949-04-26,Round 6,99500,6,16583
6,1949-05-03,Round 7,100000,6,16667
7,1949-05-10,Round 8,99779,6,16630
8,1949-05-17,Round 9,129000,6,21500
9,1949-05-24,Round 10,107000,6,17833
10,1949-05-31,Round 11,87934,6,14656
11,1949-06-07,Round 12,83512,6,13919
12,1949-06-14,Round 13,83500,6,13917
13,1949-06-21,Round 14,79000,6,13167
14,1949-06-28,Round 15,91910,6,15318
15,1949-07-05,Round 16,90000,6,15000
16,1949-07-12,Round 17,102112,6,17019
17,1949-07-19,Round 18,106436,6,17739
18,1949-07-26,Round 19,99000,6,16500
19,1949-08-02,Finals,296557,4,74139
0,1950-03-22,Round 1,116577,6,19430
1,1950-03-29,Round 2,130000,6,21667
2,1950-04-05,Round 3,118000,6,19667
3,1950-04-12,Round 4,121394,6,20232
4,1950-04-19,Round 5,138000,6,23000
5,1950-04-26,Round 6,120311,6,20052
6,1950-05-03,Round 7,116000,6,19333
7,1950-05-10,Round 8,180502,6,30084
8,1950-05-17,Round 9,119000,6,19833
9,1950-05-24,Round 10,127982,6,21330
10,1950-05-31,Round 11,107500,6,17917
11,1950-06-07,Round 12,105000,6,17500
12,1950-06-14,Round 13,120000,6,20000
13,1950-06-21,Round 14,124165,6,20694
14,1950-06-28,Round 15,73500,6,12250
15,1950-07-05,Round 16,95815,6,15969
16,1950-07-12,Round 17,90500,6,15083
17,1950-07-19,Round 18,97755,6,16293
18,1950-07-26,Finals,289658,4,72415
0,1951-03-22,Round 1,131000,6,21833
1,1951-03-29,Round 2,124374,6,20729
2,1951-04-05,Round 3,117937,6,19656
3,1951-04-12,Round 4,121000,6,20167
4,1951-04-19,Round 5,130000,6,21667
5,1951-04-26,Round 6,117774,6,19629
6,1951-05-03,Round 7,155061,6,25844
7,1951-05-10,Round 8,113000,6,18833
8,1951-05-17,Round 9,121525,6,20254
9,1951-05-24,Round 10,129157,6,21526
10,1951-05-31,Round 11,112500,6,18750
11,1951-06-07,Round 12,89867,6,14978
12,1951-06-14,Round 13,115500,6,19250
13,1951-06-21,Round 14,92500,6,15417
14,1951-06-28,Round 15,101019,6,16837
15,1951-07-05,Round 16,101241,6,16874
16,1951-07-12,Round 17,108000,6,18000
17,1951-07-19,Round 18,100000,6,16667
18,1951-07-26,Finals,276129,4,69032
0,1952-03-22,Round 1,123179,6,20530
1,1952-03-29,Round 2,140500,6,23417
2,1952-04-05,Round 3,142029,6,23672
3,1952-04-12,Round 4,126000,6,21000
4,1952-04-19,Round 5,132216,6,22036
5,1952-04-26,Round 6,98000,6,16333
6,1952-05-03,Round 7,172363,6,28727
7,1952-05-10,Round 8,96561,6,16094
8,1952-05-17,Round 9,95598,6,15933
9,1952-05-24,Round 10,84174,6,14029
10,1952-05-31,Round 11,101800,6,16967
11,1952-06-07,Round 12,119702,6,19950
12,1952-06-14,Round 13,105442,6,17574
13,1952-06-21,Round 14,120806,6,20134
14,1952-06-28,Round 15,104760,6,17460
15,1952-07-05,Round 16,120835,6,20139
16,1952-07-12,Round 17,116662,6,19444
17,1952-07-19,Round 18,117304,6,19551
18,1952-07-26,Round 19,131583,6,21931
19,1952-08-02,Finals,272439,4,68110
0,1953-03-22,Round 1,133247,6,22208
1,1953-03-29,Round 2,142433,6,23739
2,1953-04-05,Round 3,133000,6,22167
3,1953-04-12,Round 4,145329,6,24222
4,1953-04-19,Round 5,63364,6,10561
5,1953-04-26,Round 6,125070,6,20845
6,1953-05-03,Round 7,132087,6,22015
7,1953-05-10,Round 8,113554,6,18926
8,1953-05-17,Round 9,89780,6,14963
9,1953-05-24,Round 10,117919,6,19653
